run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cpu1024,3.376e-06,3.212e-06,3.21e-06,3.188e-06,3.185e-06,3.193e-06,3.199e-06,3.188e-06,3.198e-06,3.196e-06,3.214e-06,3.198e-06,3.204e-06,3.185e-06,3.203e-06,3.193e-06,3.207e-06,3.202e-06,3.193e-06,3.189e-06,3.192e-06,3.197e-06,3.19e-06,3.201e-06,3.191e-06,3.209e-06,3.204e-06,3.198e-06,3.188e-06,3.193e-06,3.208e-06,3.201e-06,3.186e-06,3.21e-06,3.207e-06,3.21e-06,3.208e-06,3.202e-06,3.207e-06,3.195e-06,3.199e-06,8.644e-06,3.199e-06,3.22e-06,3.195e-06,3.183e-06,3.193e-06,3.219e-06,3.197e-06,3.214e-06,3.189e-06,3.197e-06,3.2e-06,3.197e-06,3.202e-06,3.199e-06,3.195e-06,3.207e-06,3.193e-06,3.216e-06,3.21e-06,3.202e-06,3.188e-06,3.18e-06,3.194e-06,3.204e-06,3.189e-06,3.206e-06,3.196e-06,3.198e-06,3.207e-06,3.184e-06,3.191e-06,3.188e-06,3.192e-06,3.19e-06,3.191e-06,3.195e-06,3.204e-06,3.185e-06,3.199e-06,3.195e-06,3.199e-06,3.203e-06,3.206e-06,3.216e-06,3.215e-06,3.198e-06,3.194e-06,3.19e-06,3.194e-06,3.189e-06,3.204e-06,3.187e-06,3.201e-06,3.204e-06,3.192e-06,3.186e-06,3.185e-06,3.207e-06
cpu16384,5.0924e-05,5.0904e-05,5.0748e-05,5.0742e-05,5.0746e-05,5.4561e-05,5.0706e-05,5.079e-05,5.085e-05,5.0879e-05,5.0758e-05,5.0796e-05,5.0737e-05,5.0731e-05,5.077e-05,5.0876e-05,5.0789e-05,5.0748e-05,5.0699e-05,5.0762e-05,5.0772e-05,5.0816e-05,5.077e-05,5.0882e-05,5.0758e-05,5.0759e-05,5.0803e-05,5.0772e-05,5.2989e-05,5.0718e-05,5.094e-05,5.0914e-05,4.8115e-05,4.8113e-05,4.8086e-05,4.8048e-05,4.8155e-05,4.8167e-05,4.8049e-05,4.8151e-05,6.8118e-05,5.0793e-05,5.0731e-05,5.0766e-05,4.8153e-05,4.8129e-05,4.8163e-05,4.8129e-05,4.8151e-05,4.8094e-05,4.8057e-05,4.8138e-05,6.7629e-05,5.0796e-05,5.0827e-05,6.3699e-05,4.8047e-05,4.8114e-05,5.0714e-05,5.0777e-05,5.077e-05,4.8152e-05,4.8051e-05,6.7435e-05,5.0749e-05,5.0808e-05,6.388e-05,4.805e-05,4.8087e-05,4.8064e-05,4.8179e-05,4.8101e-05,4.8111e-05,4.8069e-05,4.7982e-05,5.0752e-05,5.0694e-05,5.0871e-05,4.8148e-05,4.8047e-05,4.8134e-05,4.8123e-05,4.8097e-05,4.8102e-05,4.8013e-05,4.8113e-05,6.9622e-05,5.0915e-05,5.0834e-05,6.4925e-05,4.8139e-05,4.8179e-05,4.799e-05,4.8118e-05,4.8155e-05,4.8085e-05,4.8189e-05,4.8192e-05,5.0834e-05,5.0771e-05
cpu100000,0.00031375,0.000315933,0.000311515,0.000316383,0.000294701,0.000324387,0.000294983,0.000328215,0.000295023,0.000300542,0.000295211,0.000300546,0.000294697,0.000330167,0.000294914,0.000296244,0.000294825,0.000296636,0.000295283,0.000296292,0.00029479,0.000324935,0.000294875,0.000295342,0.000294845,0.000295025,0.000294887,0.000295675,0.000294927,0.000295156,0.000294948,0.000295204,0.000294792,0.000294905,0.000295015,0.000295167,0.000294914,0.000295467,0.000294834,0.000295303,0.000294892,0.00029573,0.000316472,0.000295079,0.000294881,0.000295024,0.000295099,0.000295035,0.000294937,0.000294859,0.000294953,0.000294961,0.000294683,0.00029521,0.000295064,0.000295076,0.000294889,0.000294938,0.000294753,0.000295109,0.000295024,0.000295039,0.000294966,0.000295099,0.000294839,0.000294865,0.000294878,0.000325172,0.000312142,0.000295059,0.000295083,0.000295105,0.000294831,0.000295167,0.000295012,0.000295075,0.00031954,0.000310083,0.000295074,0.000295338,0.000295125,0.000294725,0.000295156,0.000294865,0.000294866,0.000294908,0.000295078,0.000295168,0.000295069,0.000294978,0.00029521,0.000294874,0.000294714,0.000294871,0.000295417,0.000295078,0.000295137,0.000295277,0.000294872,0.000294915
cpu1000000,0.00309666,0.0029826,0.00293419,0.00293403,0.00293467,0.0029338,0.00293348,0.00293445,0.00293471,0.00293341,0.00296785,0.00298145,0.00293411,0.0029334,0.00293417,0.00293375,0.00293399,0.00299372,0.00295478,0.00293252,0.00293206,0.00298021,0.00293524,0.00293347,0.00295819,0.00293469,0.00293486,0.00293452,0.00293455,0.00293542,0.00293334,0.00298772,0.00293385,0.0029338,0.00293411,0.00293447,0.00293363,0.0029935,0.00293529,0.00293468,0.00293606,0.00294002,0.00293633,0.00293287,0.00300198,0.00291842,0.0029183,0.00291911,0.00291902,0.0029193,0.00292043,0.00291759,0.00296546,0.002919,0.00291705,0.00291652,0.00291751,0.00298132,0.00291815,0.0029186,0.00291833,0.0029168,0.00296485,0.00296755,0.0029781,0.00291766,0.00291856,0.00296487,0.003022,0.00291915,0.00291893,0.00291885,0.00291723,0.00297986,0.00296735,0.00291894,0.00291863,0.00294145,0.00291879,0.00291844,0.00291762,0.0029191,0.00291829,0.00293847,0.00298641,0.00291763,0.00291771,0.00291659,0.00291766,0.00291857,0.00291858,0.00297752,0.00291766,0.0029662,0.00291699,0.00291831,0.00291942,0.0029196,0.00291739,0.0029182
cpu10000000,0.030897,0.0294382,0.0294415,0.0296178,0.0294431,0.0294413,0.0293909,0.029431,0.0296064,0.0295048,0.0293875,0.0294367,0.0294,0.0295032,0.0293856,0.0294281,0.029501,0.0294367,0.0294863,0.0296308,0.0293837,0.0293886,0.0297246,0.0297724,0.0294329,0.0294698,0.0294305,0.029486,0.0296347,0.0294789,0.0294283,0.0294247,0.0295252,0.0294957,0.0294702,0.0295836,0.0296005,0.0300738,0.0295266,0.0294089,0.0294291,0.0293871,0.029429,0.0293883,0.0293889,0.0293925,0.0293833,0.0293811,0.0293909,0.0294375,0.029392,0.0293766,0.0294283,0.0294456,0.0294273,0.0294804,0.029436,0.0295964,0.029535,0.0294742,0.0294784,0.0294822,0.029478,0.0294733,0.0294795,0.0294274,0.0294215,0.0294296,0.0293666,0.0294706,0.0293663,0.0294962,0.0294145,0.0294278,0.0293724,0.0294275,0.0294765,0.0294297,0.0296111,0.0294875,0.0293957,0.0294293,0.0293583,0.0293872,0.0293724,0.0295585,0.0295278,0.0293935,0.0294171,0.0294279,0.0294446,0.0293864,0.0294067,0.0293932,0.0293876,0.0293795,0.02939,0.0293944,0.0294862,0.0294306
cpu100000000,0.30023,0.296791,0.295532,0.294585,0.294266,0.294963,0.294632,0.294374,0.295242,0.295031,0.295246,0.295058,0.295163,0.294371,0.29496,0.295098,0.294372,0.29473,0.296626,0.307536,0.307516,0.307597,0.307488,0.307313,0.307533,0.30753,0.307595,0.307609,0.307617,0.307538,0.299629,0.297349,0.296413,0.296183,0.296217,0.296651,0.296115,0.29766,0.296562,0.297325,0.297192,0.296435,0.29661,0.296267,0.296578,0.296597,0.296345,0.296434,0.296925,0.297016,0.296569,0.296877,0.299776,0.296298,0.297155,0.296663,0.296773,0.297278,0.298517,0.296626,0.296121,0.296028,0.296081,0.296358,0.296416,0.296139,0.297547,0.296266,0.296878,0.296127,0.296617,0.297282,0.296667,0.296943,0.296971,0.296523,0.296436,0.296479,0.29625,0.296211,0.296457,0.294613,0.308668,0.307574,0.307434,0.307414,0.307513,0.307485,0.307514,0.307603,0.307632,0.307404,0.30746,0.307405,0.307527,0.307572,0.307486,0.307684,0.307564,0.307587
