run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
unstrided100000000,0.0289556,0.0271387,0.0271417,0.0251804,0.0246514,0.0246523,0.0246554,0.0246524,0.0246542,0.0246505,0.0229053,0.0229028,0.0229022,0.0229061,0.0229053,0.0229064,0.0229022,0.0229003,0.0229036,0.0229008,0.0229018,0.0228987,0.022905,0.0229037,0.0228989,0.0229036,0.022903,0.0229086,0.0229054,0.0229035,0.0229053,0.0229066,0.022911,0.022907,0.0229075,0.0229033,0.0229068,0.0229038,0.0229083,0.0229156,0.0229112,0.0229154,0.0229149,0.0229111,0.0229112,0.0229154,0.0229126,0.0229102,0.0229082,0.0229106,0.022913,0.022906,0.0229038,0.0229023,0.0229022,0.0228988,0.0228954,0.0228966,0.0229017,0.0229016,0.0229016,0.0229027,0.0229091,0.022904,0.0229064,0.0229105,0.0229108,0.0229084,0.0229112,0.0229064,0.0229083,0.0229066,0.023076,0.022906,0.0229046,0.0229092,0.0229076,0.0229028,0.02291,0.022906,0.0229095,0.0229042,0.0229091,0.0229019,0.0229028,0.0229056,0.0229053,0.0229076,0.0229104,0.0229137,0.0229125,0.0229112,0.0229129,0.022909,0.0229061,0.022902,0.0229071,0.022904,0.0229027,0.0229104
unstrided10000000,0.00284148,0.00267626,0.00267421,0.00267367,0.00267409,0.0026746,0.00267378,0.00267415,0.00267374,0.0026745,0.0026748,0.00267454,0.00267414,0.00267423,0.00267286,0.00267517,0.00267449,0.00267394,0.00267373,0.00267349,0.00267337,0.00267687,0.00267436,0.00267624,0.00267514,0.00267423,0.00267534,0.00267471,0.00267774,0.00267625,0.00267459,0.00267427,0.00267515,0.00267545,0.00267596,0.00267475,0.00267526,0.00268823,0.00267606,0.00267657,0.00267585,0.00267455,0.00267558,0.00267498,0.00267648,0.0026751,0.0026755,0.00267399,0.0026732,0.00267456,0.00267443,0.00267438,0.00267527,0.00267622,0.00267471,0.00267487,0.00267526,0.00267571,0.00268177,0.00267565,0.00267431,0.00267548,0.00267667,0.00267636,0.0026768,0.0026768,0.00267645,0.00267433,0.00267488,0.00267287,0.00267217,0.00267345,0.0026744,0.00267376,0.00267518,0.00267642,0.00267637,0.00267655,0.00267664,0.00267544,0.00267609,0.0026747,0.00267453,0.00267398,0.00267392,0.00255541,0.0024299,0.00242969,0.00242916,0.0024295,0.00242936,0.002429,0.00242956,0.00242909,0.00242948,0.00242874,0.00242945,0.0024292,0.00242949,0.00242937
unstrided1000000,0.000398785,0.000271105,0.000268657,0.000268844,0.000268728,0.000269007,0.000268366,0.000268718,0.000268997,0.000268709,0.000268413,0.00026813,0.000268625,0.00026853,0.00026854,0.000268741,0.000268852,0.000268307,0.000268836,0.00027166,0.00026867,0.000268657,0.000268557,0.000268787,0.000268355,0.000268333,0.000268537,0.000268538,0.000268546,0.000268802,0.000268346,0.000268698,0.000268585,0.000268567,0.000268564,0.000268572,0.000268483,0.000268737,0.000268559,0.000268384,0.000268531,0.000268188,0.000268602,0.000268393,0.000268967,0.000268757,0.00026897,0.000268333,0.000268472,0.000268412,0.00026825,0.00026822,0.000268148,0.000268352,0.00026844,0.000268636,0.000268642,0.000268689,0.000268391,0.000268398,0.000268446,0.000268216,0.000268462,0.00026836,0.000268293,0.000268154,0.000268563,0.000268283,0.000268203,0.000268021,0.000268549,0.000268533,0.000268748,0.000268303,0.000268412,0.000268427,0.000268675,0.000268491,0.000268694,0.000268611,0.000268485,0.000268288,0.000268353,0.000268715,0.000268773,0.000268757,0.000268634,0.000268952,0.000268527,0.000268479,0.000268482,0.000268464,0.000268764,0.000268525,0.00026864,0.000268464,0.000268918,0.000268423,0.000268571,0.000268377
unstrided100000,0.000165026,3.393e-05,3.1891e-05,3.2013e-05,3.1335e-05,3.1945e-05,3.1583e-05,3.1621e-05,3.1253e-05,3.13e-05,3.1321e-05,3.1337e-05,3.1647e-05,3.1259e-05,3.1225e-05,3.1238e-05,3.1785e-05,3.1292e-05,3.1835e-05,3.1492e-05,3.127e-05,3.1331e-05,3.1906e-05,3.1408e-05,3.1354e-05,3.2051e-05,3.1643e-05,3.1353e-05,3.1316e-05,3.1853e-05,3.1244e-05,3.1868e-05,3.1317e-05,3.1646e-05,3.1212e-05,3.125e-05,3.1535e-05,3.1439e-05,3.1612e-05,3.1582e-05,3.1219e-05,3.1346e-05,3.1915e-05,3.1256e-05,3.1725e-05,3.1231e-05,3.1791e-05,3.1699e-05,3.1204e-05,3.1248e-05,3.1726e-05,3.1157e-05,3.1278e-05,3.1635e-05,3.1642e-05,3.1459e-05,3.1624e-05,3.178e-05,3.1235e-05,3.178e-05,3.1774e-05,3.1293e-05,3.1217e-05,3.1611e-05,3.1172e-05,3.1298e-05,3.1317e-05,3.1637e-05,3.132e-05,3.1578e-05,3.1936e-05,3.1608e-05,3.1843e-05,3.118e-05,3.1259e-05,3.1322e-05,3.1318e-05,3.1637e-05,3.1457e-05,3.1554e-05,3.1229e-05,3.1382e-05,3.1198e-05,3.1918e-05,3.1574e-05,3.1886e-05,3.1518e-05,3.1783e-05,3.1695e-05,3.1238e-05,3.121e-05,3.1211e-05,3.1594e-05,3.1573e-05,3.1335e-05,3.1304e-05,3.183e-05,3.1201e-05,3.17e-05,3.1614e-05
unstrided10000,0.00014789,9.996e-06,2.4168e-05,7.971e-06,8.176e-06,8.084e-06,7.869e-06,7.87e-06,7.845e-06,7.818e-06,8.013e-06,7.836e-06,7.871e-06,7.911e-06,7.856e-06,8.101e-06,7.716e-06,8.083e-06,7.814e-06,7.791e-06,7.856e-06,7.747e-06,7.7e-06,7.884e-06,8.01e-06,7.831e-06,7.849e-06,8.027e-06,8.153e-06,7.755e-06,8.114e-06,7.507e-06,7.959e-06,7.844e-06,7.853e-06,7.825e-06,7.824e-06,7.933e-06,7.86e-06,7.741e-06,7.883e-06,8.174e-06,7.635e-06,8.187e-06,7.76e-06,8.249e-06,7.864e-06,7.859e-06,7.828e-06,7.812e-06,7.824e-06,7.833e-06,7.829e-06,7.833e-06,8.115e-06,7.863e-06,8.44e-06,7.803e-06,8.197e-06,7.854e-06,7.848e-06,7.797e-06,7.525e-06,7.895e-06,7.806e-06,7.876e-06,7.984e-06,8.403e-06,2.5288e-05,8.294e-06,7.876e-06,8.115e-06,7.841e-06,7.899e-06,7.884e-06,7.879e-06,7.885e-06,8.225e-06,7.917e-06,7.914e-06,7.757e-06,7.819e-06,8.318e-06,7.926e-06,8.071e-06,8.083e-06,7.764e-06,7.913e-06,7.757e-06,7.739e-06,2.3795e-05,7.791e-06,7.822e-06,7.798e-06,7.842e-06,8.103e-06,8.006e-06,8.026e-06,7.778e-06,8.22e-06
unstrided1000,0.000133889,7.442e-06,5.798e-06,5.38e-06,5.385e-06,5.366e-06,5.367e-06,5.411e-06,5.416e-06,5.554e-06,5.384e-06,5.575e-06,5.349e-06,5.487e-06,5.309e-06,5.412e-06,5.427e-06,5.434e-06,5.379e-06,4.892e-06,5.4e-06,5.415e-06,5.772e-06,5.4e-06,5.559e-06,5.308e-06,5.46e-06,5.4e-06,5.079e-06,5.066e-06,5.283e-06,5.03e-06,5.428e-06,5.438e-06,5.437e-06,5.65e-06,5.334e-06,5.655e-06,5.094e-06,5.51e-06,5.096e-06,4.929e-06,4.912e-06,5.45e-06,5.464e-06,5.066e-06,5.063e-06,4.95e-06,4.963e-06,5.587e-06,5.516e-06,5.087e-06,5.678e-06,5.052e-06,5.416e-06,1.2601e-05,5.455e-06,5.393e-06,5.052e-06,5.049e-06,5.384e-06,5.06e-06,5.396e-06,5.556e-06,5.377e-06,5.6e-06,5.408e-06,5.538e-06,5.427e-06,5.4e-06,5.037e-06,5.318e-06,5.046e-06,5.396e-06,5.314e-06,5.353e-06,5.499e-06,5.288e-06,5.549e-06,5.608e-06,5.468e-06,5.584e-06,5.415e-06,5.093e-06,5.551e-06,5.216e-06,5.339e-06,5.123e-06,5.358e-06,5.863e-06,5.392e-06,5.665e-06,5.08e-06,5.596e-06,5.081e-06,5.281e-06,5.06e-06,5.349e-06,5.315e-06,5.344e-06
unstrided100,0.000152245,7.334e-06,5.479e-06,5.521e-06,5.242e-06,5.418e-06,5.227e-06,5.453e-06,5.3e-06,4.805e-06,4.884e-06,4.81e-06,4.811e-06,5.205e-06,1.2572e-05,5.713e-06,5.324e-06,5.421e-06,5.318e-06,5e-06,5.412e-06,5.215e-06,5.205e-06,5.218e-06,4.838e-06,4.873e-06,5.18e-06,4.799e-06,4.786e-06,5.233e-06,5.232e-06,5.355e-06,4.8e-06,5.322e-06,5.174e-06,5.166e-06,4.847e-06,4.879e-06,5.34e-06,4.806e-06,5.252e-06,4.78e-06,5.28e-06,4.78e-06,5.268e-06,4.859e-06,5.3e-06,5.157e-06,5.17e-06,4.781e-06,5.165e-06,4.867e-06,5.2e-06,4.821e-06,5.18e-06,5.181e-06,4.859e-06,5.325e-06,4.798e-06,5.354e-06,4.793e-06,5.256e-06,5.178e-06,4.818e-06,5.207e-06,5.223e-06,5.192e-06,5.187e-06,5.179e-06,4.821e-06,5.311e-06,4.819e-06,5.333e-06,5.169e-06,5.271e-06,5.234e-06,5.173e-06,5.16e-06,4.813e-06,4.81e-06,4.785e-06,4.796e-06,4.891e-06,5.335e-06,5.201e-06,5.358e-06,5.187e-06,5.308e-06,5.201e-06,4.815e-06,4.802e-06,4.855e-06,5.182e-06,4.867e-06,4.858e-06,5.167e-06,5.207e-06,5.162e-06,5.314e-06,4.817e-06
