run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cpu100000000,0.246651,0.247097,0.247059,0.247123,0.246994,0.247186,0.247074,0.247129,0.248055,0.247072,0.247211,0.247284,0.247182,0.247239,0.248625,0.247577,0.247937,0.247093,0.247086,0.247541,0.246977,0.247243,0.247183,0.247142,0.248816,0.247508,0.247103,0.248458,0.247233,0.247103,0.247314,0.247229,0.247167,0.247342,0.248565,0.247543,0.247079,0.246766,0.247032,0.247433,0.248191,0.246917,0.247045,0.247517,0.247379,0.247572,0.247784,0.247045,0.248172,0.247323,0.247214,0.247189,0.247784,0.24775,0.247171,0.247246,0.247136,0.247708,0.247231,0.247476,0.247341,0.247197,0.247638,0.247145,0.246939,0.247003,0.247243,0.247875,0.247315,0.247025,0.247091,0.248348,0.247149,0.247252,0.247081,0.247013,0.246955,0.2476,0.247099,0.246954,0.247089,0.247411,0.250007,0.247036,0.246987,0.247021,0.247669,0.246712,0.247085,0.247042,0.247116,0.246762,0.246968,0.24766,0.247146,0.247387,0.247313,0.247188,0.247115,0.247235
cpu10000000,0.0245683,0.0244709,0.0244859,0.0243842,0.0243513,0.0243951,0.0244157,0.0245497,0.0244288,0.0243514,0.0243957,0.0244467,0.0243967,0.0243386,0.0243918,0.0243924,0.0243331,0.0243403,0.0243818,0.0245703,0.0243898,0.0243532,0.0252772,0.0243609,0.0244349,0.0243447,0.0243397,0.024343,0.024344,0.0243788,0.0243393,0.0243427,0.0243866,0.0243888,0.0243373,0.0243465,0.0243289,0.0243884,0.024344,0.0243401,0.0243469,0.0243563,0.0244256,0.0244844,0.0243679,0.0243426,0.0244478,0.0243518,0.0243951,0.0243848,0.0244025,0.0244535,0.0243543,0.0244441,0.0243954,0.0243488,0.0243344,0.0243673,0.0243935,0.0243377,0.0243328,0.0243449,0.0244145,0.0244068,0.0243498,0.0243751,0.0243891,0.024367,0.0243507,0.0243512,0.0243348,0.0243389,0.0244878,0.0243461,0.0243886,0.0243346,0.024337,0.0243893,0.0243365,0.024343,0.0243424,0.0243809,0.0243488,0.0243858,0.0243431,0.0243977,0.0243314,0.0243972,0.0243623,0.024388,0.0243963,0.0244368,0.0243386,0.0243519,0.0244399,0.0243935,0.0243869,0.0243394,0.0248717,0.0248184
cpu1000000,0.00251672,0.00243263,0.00244528,0.00243148,0.00242886,0.00243086,0.00243026,0.00249103,0.00242988,0.00243163,0.00242958,0.00244569,0.00243011,0.00247488,0.00248119,0.00244289,0.00243042,0.00242768,0.00243025,0.00244837,0.00242869,0.00242672,0.00242759,0.00244555,0.00242881,0.0024291,0.00242703,0.00244652,0.00242679,0.00242571,0.00242892,0.00244134,0.00242777,0.002426,0.00242912,0.00242616,0.00242682,0.00242621,0.00242597,0.00242853,0.00242634,0.00242785,0.0024258,0.00242938,0.00242757,0.00242635,0.00242807,0.00242654,0.00242681,0.00242573,0.00242884,0.0024256,0.00242572,0.00242885,0.00247189,0.00242866,0.00242603,0.00242804,0.0024254,0.00242845,0.00242647,0.00242585,0.00242844,0.00242687,0.00242759,0.00242632,0.0024277,0.00242736,0.00242582,0.00242832,0.00242653,0.00242907,0.00242715,0.00246698,0.00242555,0.00242926,0.00242813,0.00242675,0.00242726,0.00242674,0.00242824,0.00242577,0.00242829,0.00242535,0.00242604,0.00242836,0.00242591,0.00242793,0.00242711,0.00242761,0.00247517,0.00242792,0.00242521,0.002426,0.0024289,0.00247137,0.00242828,0.00242685,0.00242846,0.00242661
cpu100000,0.000245886,0.000243949,0.000271576,0.000283135,0.00025616,0.000260135,0.000278774,0.000258398,0.000243348,0.000263749,0.000272147,0.000243075,0.000243079,0.000270499,0.000266892,0.000243088,0.000243056,0.000245568,0.000243258,0.000243448,0.000242939,0.000273573,0.000265977,0.000243069,0.000243093,0.000244782,0.000243277,0.000243205,0.000243678,0.00024548,0.000243284,0.00024329,0.0002431,0.00024501,0.000243134,0.000242863,0.000243034,0.000244859,0.000243379,0.00024327,0.000243037,0.000244643,0.000243402,0.00024332,0.000258459,0.000244665,0.000242949,0.000243229,0.000242943,0.000244689,0.000243258,0.000243322,0.000243357,0.000244656,0.000243258,0.0002433,0.000243555,0.000244951,0.000243315,0.000243147,0.000243054,0.000244706,0.000243353,0.000243307,0.000242948,0.000244885,0.000243219,0.000243125,0.000243225,0.000245228,0.00024391,0.000243102,0.000243004,0.000245092,0.000243164,0.000243285,0.000243107,0.00024454,0.000242928,0.000243744,0.000243056,0.000244784,0.000242987,0.000243469,0.000258741,0.000272416,0.000260376,0.000242964,0.000244745,0.000271995,0.000242854,0.000242915,0.000263671,0.000269616,0.000243381,0.000242911,0.000244458,0.000243182,0.000243259,0.000243114
cpu10000,2.4666e-05,2.4426e-05,2.4059e-05,2.4049e-05,2.4073e-05,2.4147e-05,2.4144e-05,2.4075e-05,2.4092e-05,2.4087e-05,2.4039e-05,2.4002e-05,4.7504e-05,2.5388e-05,2.5519e-05,2.539e-05,2.5557e-05,2.5326e-05,2.5364e-05,2.5491e-05,2.5528e-05,2.4048e-05,2.4055e-05,2.4198e-05,2.4055e-05,2.4055e-05,2.4216e-05,2.3974e-05,2.4142e-05,2.4055e-05,2.4037e-05,2.4213e-05,2.4127e-05,2.4186e-05,2.4158e-05,2.4096e-05,2.4e-05,2.4056e-05,2.3917e-05,2.4e-05,2.4096e-05,2.4132e-05,4.1764e-05,2.5462e-05,2.5345e-05,2.5355e-05,2.5483e-05,2.5309e-05,2.5351e-05,2.54e-05,2.5456e-05,2.5551e-05,4.058e-05,2.4096e-05,2.4012e-05,2.4033e-05,2.4034e-05,2.4035e-05,2.4034e-05,2.4078e-05,2.3996e-05,2.3926e-05,2.403e-05,2.4077e-05,2.4009e-05,2.4126e-05,2.397e-05,2.4139e-05,2.3991e-05,2.3978e-05,2.4122e-05,2.4026e-05,2.4145e-05,2.41e-05,2.7012e-05,2.5609e-05,2.536e-05,2.5359e-05,2.5261e-05,2.5319e-05,2.5267e-05,2.5343e-05,2.5378e-05,2.4018e-05,2.4038e-05,2.4024e-05,2.3983e-05,2.4011e-05,2.3988e-05,2.4035e-05,2.3968e-05,2.409e-05,2.4028e-05,2.4003e-05,2.3974e-05,2.4006e-05,2.3999e-05,2.4017e-05,2.4034e-05,2.4048e-05
cpu1000,2.559e-06,2.497e-06,2.415e-06,2.416e-06,2.443e-06,2.446e-06,2.416e-06,2.419e-06,2.425e-06,2.425e-06,2.422e-06,2.421e-06,2.423e-06,2.425e-06,2.443e-06,2.425e-06,2.417e-06,2.446e-06,2.413e-06,2.408e-06,2.417e-06,2.423e-06,2.41e-06,2.413e-06,2.425e-06,2.449e-06,2.422e-06,2.408e-06,2.406e-06,2.424e-06,2.414e-06,2.429e-06,2.423e-06,2.424e-06,2.446e-06,2.425e-06,2.416e-06,2.419e-06,2.41e-06,2.394e-06,2.419e-06,2.399e-06,2.427e-06,2.425e-06,2.406e-06,2.425e-06,2.437e-06,2.406e-06,2.6723e-05,2.575e-06,2.562e-06,2.592e-06,2.564e-06,2.57e-06,2.575e-06,2.527e-06,2.571e-06,2.575e-06,2.546e-06,2.536e-06,2.568e-06,2.567e-06,2.575e-06,2.54e-06,2.525e-06,2.571e-06,2.547e-06,2.535e-06,2.561e-06,2.569e-06,2.582e-06,2.548e-06,2.568e-06,2.566e-06,2.57e-06,2.568e-06,2.541e-06,2.512e-06,2.56e-06,2.446e-06,2.397e-06,2.43e-06,2.435e-06,2.441e-06,2.411e-06,2.429e-06,2.387e-06,2.413e-06,2.432e-06,2.441e-06,2.407e-06,2.433e-06,2.435e-06,2.44e-06,2.401e-06,2.389e-06,2.456e-06,2.449e-06,2.406e-06,2.415e-06
cpu100,3.61e-07,2.65e-07,2.6e-07,2.7e-07,2.62e-07,2.68e-07,2.68e-07,2.61e-07,2.63e-07,2.77e-07,2.65e-07,2.67e-07,2.64e-07,2.62e-07,2.7e-07,2.67e-07,2.63e-07,2.63e-07,2.64e-07,2.66e-07,2.63e-07,2.63e-07,2.67e-07,2.67e-07,2.7e-07,2.67e-07,2.63e-07,2.68e-07,2.7e-07,2.67e-07,2.66e-07,2.64e-07,2.63e-07,2.65e-07,2.67e-07,2.64e-07,2.58e-07,2.59e-07,2.55e-07,2.6e-07,2.64e-07,2.59e-07,2.67e-07,2.67e-07,2.63e-07,2.64e-07,2.58e-07,2.71e-07,2.61e-07,2.64e-07,2.7e-07,2.62e-07,2.68e-07,2.63e-07,2.65e-07,2.6e-07,2.6e-07,2.65e-07,2.64e-07,2.68e-07,2.7e-07,2.65e-07,2.69e-07,2.73e-07,2.67e-07,2.63e-07,2.63e-07,2.67e-07,2.62e-07,2.66e-07,2.63e-07,2.63e-07,2.65e-07,2.7e-07,2.67e-07,2.7e-07,2.6e-07,2.77e-07,2.68e-07,2.65e-07,2.65e-07,2.67e-07,2.61e-07,2.67e-07,2.62e-07,2.67e-07,2.66e-07,2.78e-07,2.61e-07,2.72e-07,2.68e-07,2.65e-07,2.64e-07,2.65e-07,2.65e-07,2.71e-07,2.69e-07,2.61e-07,2.68e-07,2.62e-07
