run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
strided100,0.000148208,6.833e-06,5.131e-06,4.791e-06,4.946e-06,4.951e-06,4.917e-06,4.64e-06,4.619e-06,5.033e-06,4.556e-06,5.014e-06,4.577e-06,4.98e-06,4.55e-06,4.517e-06,4.592e-06,5.589e-06,4.896e-06,4.957e-06,4.958e-06,4.677e-06,5.012e-06,4.659e-06,5.151e-06,4.961e-06,5.21e-06,4.758e-06,4.632e-06,4.553e-06,4.553e-06,4.907e-06,5.142e-06,4.699e-06,4.514e-06,4.99e-06,4.974e-06,5.235e-06,5.024e-06,5.111e-06,4.801e-06,5.242e-06,5.031e-06,5.171e-06,4.971e-06,5.071e-06,4.963e-06,4.567e-06,4.969e-06,1.8438e-05,5.07e-06,4.931e-06,4.962e-06,4.513e-06,4.935e-06,4.648e-06,4.662e-06,4.661e-06,5.145e-06,5.05e-06,4.537e-06,4.521e-06,4.502e-06,4.952e-06,4.557e-06,5.059e-06,4.929e-06,5.051e-06,4.549e-06,4.603e-06,4.475e-06,4.598e-06,4.506e-06,4.575e-06,4.643e-06,4.508e-06,4.583e-06,4.527e-06,5.027e-06,4.528e-06,4.928e-06,4.573e-06,4.551e-06,4.593e-06,4.564e-06,4.579e-06,4.562e-06,4.849e-06,4.48e-06,4.566e-06,4.608e-06,5.05e-06,4.533e-06,5.071e-06,4.971e-06,4.633e-06,4.61e-06,4.53e-06,4.548e-06,4.493e-06
strided1000,0.00014142,6.785e-06,5.802e-06,5.072e-06,5.374e-06,4.958e-06,5.197e-06,4.678e-06,4.698e-06,4.689e-06,5.033e-06,4.617e-06,4.957e-06,4.623e-06,4.639e-06,5.206e-06,4.763e-06,5.239e-06,4.771e-06,5.202e-06,5.012e-06,4.534e-06,4.712e-06,4.648e-06,4.611e-06,4.712e-06,4.592e-06,4.608e-06,4.671e-06,4.571e-06,5.14e-06,4.698e-06,5.091e-06,4.623e-06,4.566e-06,4.934e-06,4.623e-06,4.624e-06,4.766e-06,4.599e-06,4.61e-06,4.63e-06,4.665e-06,5.159e-06,4.954e-06,5.011e-06,4.624e-06,4.642e-06,4.641e-06,4.688e-06,4.641e-06,4.608e-06,4.929e-06,4.593e-06,4.727e-06,4.621e-06,5.044e-06,4.603e-06,5.087e-06,4.572e-06,5.085e-06,4.667e-06,4.54e-06,4.645e-06,4.663e-06,4.581e-06,4.619e-06,4.657e-06,4.669e-06,5.164e-06,4.64e-06,5.142e-06,4.689e-06,5.124e-06,4.612e-06,4.582e-06,5.015e-06,4.644e-06,4.631e-06,4.564e-06,4.61e-06,4.607e-06,4.56e-06,4.664e-06,5.117e-06,5.463e-06,5.235e-06,4.596e-06,4.705e-06,4.602e-06,4.594e-06,4.624e-06,4.648e-06,4.673e-06,4.593e-06,4.608e-06,4.635e-06,5.24e-06,4.633e-06,5.081e-06
strided10000,0.000122373,9.183e-06,7.601e-06,7.585e-06,7.63e-06,7.504e-06,7.684e-06,7.543e-06,7.661e-06,7.414e-06,7.638e-06,7.376e-06,7.041e-06,7.203e-06,7.181e-06,7.496e-06,7.382e-06,7.343e-06,7.418e-06,7.352e-06,7.396e-06,7.502e-06,7.465e-06,7.615e-06,7.322e-06,7.611e-06,7.43e-06,7.6e-06,7.481e-06,7.43e-06,7.48e-06,7.486e-06,7.46e-06,7.355e-06,7.6e-06,3.1215e-05,8.155e-06,7.432e-06,7.706e-06,7.608e-06,7.464e-06,7.465e-06,7.449e-06,7.39e-06,7.384e-06,7.389e-06,7.393e-06,7.799e-06,7.535e-06,7.645e-06,7.501e-06,7.707e-06,7.205e-06,7.403e-06,7.365e-06,7.411e-06,7.403e-06,7.452e-06,7.558e-06,7.441e-06,2.2811e-05,7.441e-06,7.668e-06,7.345e-06,7.48e-06,7.299e-06,7.157e-06,7.362e-06,7.503e-06,7.422e-06,7.048e-06,7.381e-06,7.347e-06,7.449e-06,7.375e-06,7.678e-06,7.023e-06,7.566e-06,7.029e-06,7.64e-06,7.073e-06,7.492e-06,7.535e-06,7.393e-06,7.498e-06,7.332e-06,7.58e-06,7.337e-06,7.641e-06,7.489e-06,7.668e-06,7.499e-06,7.464e-06,7.432e-06,7.019e-06,7.192e-06,7.006e-06,7.211e-06,7.043e-06,7.083e-06
strided100000,0.000142752,3.3012e-05,3.1732e-05,3.1347e-05,3.1297e-05,3.1305e-05,3.1116e-05,3.1341e-05,3.1177e-05,3.1343e-05,3.0892e-05,3.1371e-05,3.1222e-05,3.1435e-05,3.119e-05,3.4033e-05,3.5531e-05,3.1205e-05,3.1016e-05,3.1152e-05,3.1203e-05,3.1231e-05,3.1472e-05,4.0756e-05,3.1338e-05,3.1053e-05,3.1336e-05,3.1077e-05,3.1304e-05,3.1079e-05,3.1142e-05,3.1207e-05,3.1132e-05,3.1209e-05,3.1187e-05,3.146e-05,3.0898e-05,3.1355e-05,3.1209e-05,3.1465e-05,3.1131e-05,3.1365e-05,3.1144e-05,3.091e-05,3.1129e-05,3.1285e-05,3.1117e-05,3.131e-05,3.1181e-05,3.1131e-05,3.1336e-05,3.1121e-05,3.1357e-05,3.0904e-05,3.1229e-05,3.115e-05,3.1058e-05,3.1132e-05,3.1148e-05,3.0788e-05,3.1128e-05,3.1224e-05,3.1178e-05,3.1652e-05,3.1118e-05,3.1259e-05,3.1192e-05,3.119e-05,3.1176e-05,3.1242e-05,3.116e-05,3.1125e-05,3.12e-05,3.1138e-05,3.1444e-05,3.1221e-05,3.1453e-05,3.1169e-05,3.1493e-05,3.1312e-05,3.1464e-05,3.1089e-05,3.1194e-05,3.1145e-05,3.1155e-05,3.1104e-05,3.1068e-05,3.1239e-05,3.122e-05,3.1486e-05,3.1375e-05,3.1314e-05,3.1165e-05,3.1321e-05,3.1107e-05,3.1504e-05,3.1104e-05,3.1205e-05,3.0817e-05,3.1175e-05
strided1000000,0.000384728,0.000269495,0.000268559,0.000267687,0.000267718,0.000267541,0.00026772,0.000267403,0.000266999,0.00026769,0.00026778,0.000267609,0.000267319,0.000268252,0.000267288,0.000266857,0.000267585,0.000268177,0.000267333,0.000267086,0.000267841,0.000267528,0.000267474,0.000267634,0.000268022,0.000267229,0.00026796,0.000267853,0.00026735,0.00026729,0.000267254,0.000267401,0.000267211,0.000267703,0.000267461,0.00026825,0.000267437,0.000267774,0.000266987,0.000267675,0.00026694,0.000267229,0.000267335,0.000267565,0.000267132,0.000267191,0.000267619,0.0002669,0.000266878,0.000267132,0.00026777,0.000267259,0.00026774,0.000267381,0.00026759,0.000267525,0.000267162,0.00026757,0.000267299,0.000267447,0.000267624,0.000268092,0.000267718,0.000267658,0.000267167,0.000267773,0.000267082,0.000267773,0.000267328,0.000266941,0.000267262,0.000267169,0.000267298,0.000266817,0.000266805,0.000266931,0.000268122,0.00026751,0.000268501,0.000267589,0.000268052,0.000267155,0.000267169,0.000267932,0.000266992,0.000267206,0.000267643,0.000267649,0.000267015,0.000267351,0.000267699,0.000267585,0.00026719,0.000267986,0.000267842,0.000267898,0.000267439,0.000267683,0.000267892,0.000267195
strided10000000,0.00278352,0.00263355,0.0026312,0.00262958,0.00263165,0.00263385,0.00263137,0.0026315,0.00263135,0.00263073,0.00262994,0.00263134,0.00263165,0.00263335,0.00263198,0.00263264,0.00263161,0.00263161,0.00263104,0.00263086,0.00263127,0.00263292,0.00263303,0.00263316,0.00263284,0.00263133,0.00263243,0.00263249,0.00263357,0.00263413,0.00239028,0.00222862,0.00222827,0.00222824,0.0022285,0.00222852,0.00222829,0.00222955,0.00222852,0.00222802,0.00222809,0.00222959,0.00222771,0.00222818,0.00222805,0.00222773,0.00222801,0.00222833,0.00222874,0.0022283,0.00222836,0.00222789,0.00222783,0.00222775,0.00222803,0.00222809,0.00222723,0.0022279,0.00222743,0.0022275,0.00222814,0.00222757,0.00222821,0.00222872,0.00222797,0.002228,0.00222757,0.00222765,0.00222838,0.00222812,0.00222835,0.00222861,0.0022287,0.00222837,0.00222874,0.00222831,0.00222799,0.00222792,0.00222794,0.00222822,0.00222809,0.00222793,0.00222749,0.00222802,0.00222767,0.00222826,0.00222788,0.00222731,0.00222707,0.00222811,0.00222762,0.00222798,0.00222709,0.00222765,0.00222765,0.00222739,0.00222726,0.00222861,0.0022275,0.00222725
strided100000000,0.0293135,0.0264214,0.0264001,0.0264222,0.0264146,0.0251461,0.0238614,0.0238661,0.0238621,0.0238642,0.0238613,0.0238605,0.0230241,0.0221409,0.0221522,0.0221569,0.022158,0.0221578,0.0221511,0.0221467,0.0221474,0.0221509,0.0221425,0.0221441,0.0221519,0.0221493,0.0221551,0.0221632,0.0221524,0.0221537,0.0221493,0.0221552,0.0221596,0.0221593,0.0221534,0.0221511,0.022153,0.0221575,0.0221491,0.0221474,0.0221521,0.0221522,0.0221507,0.0221471,0.0221511,0.0221525,0.0221532,0.022146,0.0221495,0.0221569,0.0221625,0.0221587,0.0221637,0.0221645,0.0221675,0.0221662,0.0221649,0.0221624,0.0221618,0.0221626,0.0221657,0.0221676,0.0221565,0.0221661,0.0221565,0.0221566,0.0221587,0.0221703,0.0221672,0.0221662,0.0221609,0.0221657,0.0221616,0.0221617,0.0221493,0.0221537,0.0221588,0.0221614,0.0221556,0.0221671,0.0221637,0.0221627,0.0221626,0.0221669,0.0221578,0.0221644,0.0221586,0.0221576,0.0221624,0.0221602,0.0221572,0.022154,0.0221563,0.0221624,0.0221604,0.0221606,0.0221591,0.0221582,0.0221552,0.0221524
